"Id","Host","Loai","BoPhan","Nguon","ViTri","Office","GhiChu","LaMay"
"391","VN-LD009","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"392","VN-LD048","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"393","VN-LD039","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"394","VN-LD054","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"395","VN-LD053","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"396","VN-LD044","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"397","VN-LD059","Máy tính","BPVN - VN-LD","trong","","False","","True"
"398","VN-LD0042","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"399","VN-PD002","Laptop","BPVN - VN-PD","trong","","False","","True"
"400","VN-PMC057","Máy tính","BPVN - VN-PMC","chu quan","Hải Dương","True","","True"
"402","VN-CV006","Máy tính","BPVN - VN-CV","trong","","False","","True"
"403","VN-CV005","Máy tính","BPVN - VN-CV","trong","","False","","True"
"404","VN-DF027","Máy tính","BPVN - VN-DF","chu quan","Hải Dương","False","","True"
"405","VN-DF028","Máy tính","BPVN - VN-DF","chu quan","Hải Dương","False","","True"
"406","VN-DF010","Máy tính","BPVN - VN-DF","chu quan","Hải Dương","True","","True"
"407","VN-DF026","Máy tính","BPVN - VN-DF","chu quan","Hải Dương","False","","True"
"408","VN-DF016","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"409","VN-DF006","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"410","VN-DF024","Máy tính","BPVN - VN-DF","chu quan","Hải Dương","True","","True"
"411","VN-DF022","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"412","VN-PQC002","Máy tính","BPVN - VN-WD","trong","","False","","True"
"413","VN-DH021","Máy tính","BPVN - VN-DH","trong","","False","","True"
"414","VN-DH013","Máy tính","BPVN - VN-DH","trong","","False","","True"
"415","VN-DH038","Laptop","BPVN - VN-DH","trong","","False","","True"
"416","VN-DH005","Máy tính","BPVN - VN-DH","trong","","False","","True"
"417","VN-DH006","Máy tính","BPVN - VN-DH","trong","","False","","True"
"418","VN-DH012","Máy tính","BPVN - VN-DH","trong","","False","","True"
"419","VN-DH031","Máy tính","BPVN - VN-DH","trong","","False","","True"
"420","VN-DH032","Máy tính","BPVN - VN-DH","trong","","False","","True"
"421","VN-DH024","Máy tính","BPVN - VN-DH","trong","","False","","True"
"422","VN-DH026","Máy tính","BPVN - VN-DH","trong","","False","","True"
"423","VN-DH011","Máy tính","BPVN - VN-DH","trong","","False","","True"
"424","VN-EG009","Máy tính","BPVN - VN-EG","trong","","False","","True"
"425","VN-EG015","Máy tính","BPVN - VN-EG","trong","","False","","True"
"426","VN-EG012","Máy tính","BPVN - VN-EG","trong","","False","","True"
"427","VN-MAXHUB-360","Máy tính","BPVN - VN-IT","trong","","False","","True"
"428","VN-QA014","Máy tính","BPVN - VN-QA","trong","","False","","True"
"429","VN-QA018","Máy tính","BPVN - VN-QC","trong","","False","","True"
"430","VN-QA044","Máy tính","BPVN - VN-QA","trong","","False","","True"
"431","VN-QA007","Máy tính","BPVN - VN-QA","trong","","False","","True"
"432","VN-QA004","Máy tính","BPVN - VN-QC","co san","Hải Dương","True","","True"
"433","VN-QA011","Máy tính","BPVN - VN-QA","trong","","False","","True"
"434","VN-QA042","Máy tính","BPVN - VN-QA","trong","","False","","True"
"435","VN-QA047","Máy tính","BPVN - VN-QA","trong","","False","","True"
"436","VN-QA046","Máy tính","BPVN - VN-QA","trong","","False","","True"
"437","VN-QA033","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","True","","True"
"438","VN-QA032","Máy tính","BPVN - VN-QA","trong","","False","","True"
"439","VN-QA031","Laptop","BPVN - VN-QA","trong","","False","","True"
"440","VN-QA051","Máy tính","BPVN - VN-QA","trong","","False","","True"
"441","VN-QC040","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"442","VN-QC062","Máy tính","BPVN - VN-QC ĐAI","chu quan","Hải Dương","False","","True"
"443","VN-QC055","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"444","VN-QC060","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"445","VN-QC010","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"446","VN-QC012","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"447","VN-QC014","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"448","VN-QC069","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","True","","True"
"449","VN-QC036","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"450","VN-QC013","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"451","VN-QC063","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"452","VN-QC039","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"453","VN-QC011","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"454","VN-QC15","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","True","","True"
"455","VN-QC080","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"456","VN-QC14","Máy tính","BPVN - VN-QC ĐAI","chu quan","Hải Dương","False","","True"
"457","VN-QC030","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"458","VN-QC054","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"459","VN-QC083","Laptop","BPVN - VN-QC ĐAI","chu quan","Hải Dương","False","","True"
"460","VN-QC033","Máy tính","BPVN - VN-QC ĐAI","chu quan","Hải Dương","False","","True"
"461","VN-QC031","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"462","VN-QC084","Máy tính","BPVN - VN-QC","co san","Hải Dương","True","","True"
"463","VN-QC020","Máy tính","BPVN - VN-QC","co san","Hải Dương","True","","True"
"464","VN-QC052","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"465","VN-QC009","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"466","VN-QC021","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"467","VN-QC086","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"468","VN-QC067","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"469","VN-QC068","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"470","VN-QC034","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"471","VN-QC043","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"472","VN-QC073","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","True","","True"
"473","VN-QC007","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"474","VN-QC018","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"475","VN-QC029","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"476","VN-QC066","Máy tính","BPVN - VN-QC VẢI","chu quan","Hải Dương","False","","True"
"477","VN-SD101","Laptop","BPVN - VN-IT","trong","","False","","True"
"478","VN-SD110","Máy tính","BPVN - VN-SD","trong","","False","","True"
"479","VN-SHD007","Máy tính","BPVN - VN-SHD","chu quan","Hải Dương","True","","True"
"480","VN-SS001","Máy tính","BPVN - VN-SS","co san","Hải Dương","True","","True"
"481","VN-SS049","Máy tính","BPVN - VN-SS","trong","","False","","True"
"482","VN-SS064","Máy tính","BPVN - VN-SS","trong","","False","","True"
"483","VN-SS065","Máy tính","BPVN - VN-SS","trong","","False","","True"
"484","VN-SS037","Máy tính","BPVN - VN-SS","trong","","False","","True"
"485","VN-SS022","Máy tính","BPVN - VN-SS","trong","","False","","True"
"486","VN-SS43","Laptop","BPVN - VN-SS","trong","","False","","True"
"487","VN-SS057","Máy tính","BPVN - VN-SS","trong","","False","","True"
"488","VN-SS043","Máy tính","BPVN - VN-SS","trong","","False","","True"
"489","VN-SS075","Máy tính","BPVN - VN-SS","trong","","False","","True"
"490","VN-SS025","Máy tính","BPVN - VN-SS","trong","","False","","True"
"491","VN-SS078","Máy tính","BPVN - VN-SS","trong","","False","","True"
"492","VN-SS079","Máy tính","BPVN - VN-SS","trong","","False","","True"
"493","VN-SS052","Máy tính","BPVN - VN-SS","trong","","False","","True"
"494","VN-SS080","Máy tính","BPVN - VN-SS","trong","","False","","True"
"495","VN-SS053","Máy tính","BPVN - VN-SS","trong","","False","","True"
"496","VN-SS076","Máy tính","BPVN - VN-SS","trong","","False","","True"
"497","VN-SS056","Máy tính","BPVN - VN-SS","trong","","False","","True"
"498","VN-SS034","Máy tính","BPVN - VN-SS","trong","","False","","True"
"499","VN-SS059","Máy tính","BPVN - VN-SS","trong","","False","","True"
"500","VN-SS029","Máy tính","BPVN - VN-SS","trong","","False","","True"
"501","VN-SS077","Máy tính","BPVN - VN-SS","trong","","False","","True"
"502","VN-SS055","Máy tính","BPVN - VN-SS","trong","","False","","True"
"503","VN-SS061","Máy tính","BPVN - VN-SS","trong","","False","","True"
"504","VN-SS033","Máy tính","BPVN - VN-SS","trong","","False","","True"
"505","VN-SS031","Máy tính","BPVN - VN-SS","trong","","False","","True"
"506","VN-WA026","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","False","","True"
"507","VN-WA027","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","False","","True"
"508","VN-WA019","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","True","","True"
"509","VN-WA011","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","True","","True"
"510","VN-WA004","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","True","","True"
"511","VN-WA006","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","True","","True"
"512","VN-WA046","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","False","","True"
"513","VN-WA015","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","False","","True"
"514","VN-WA045","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","False","","True"
"515","VN-WA044","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","False","","True"
"516","VN-WA043","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","False","","True"
"517","VN-WA016","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","True","","True"
"518","VN-WA024","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","False","","True"
"519","VN-WD013","Máy tính","BPVN - VN-WD","trong","","False","","True"
"520","VN-WD009","Máy tính","BPVN - VN-WD","trong","","False","","True"
"521","VN-WD011","Máy tính","BPVN - VN-WD","trong","","False","","True"
"522","VN-WD012","Máy tính","BPVN - VN-WD","trong","","False","","True"
"523","VN-WD002","Máy tính","BPVN - VN-WD","trong","","False","","True"
"524","VN-WD008","Máy tính","BPVN - VN-WD","trong","","False","","True"
"525","VN-WD005","Máy tính","BPVN - VN-WD","trong","","False","","True"
"526","VN-WH050","Máy tính","BPVN - VN-WH","trong","","False","","True"
"527","VN-WH010","Máy tính","BPVN - VN-WH","trong","","False","","True"
"528","VN-WH012","Máy tính","BPVN - VN-WH","trong","","False","","True"
"529","VN-WH046","Máy tính","BPVN - VN-WH","trong","","False","","True"
"530","VN-WH004","Máy tính","BPVN - VN-WH","trong","","False","","True"
"531","VN-WH036","Máy tính","BPVN - VN-WH","trong","","False","","True"
"532","VN-WH037","Máy tính","BPVN - VN-WH","trong","","False","","True"
"533","VN-WH100","Máy tính","BPVN - VN-WH","trong","","False","","True"
"534","VN-WH038","Máy tính","BPVN - VN-WH","trong","","False","","True"
"535","VN-WH021","Máy tính","BPVN - VN-WH","trong","","False","","True"
"536","VN-WH040","Máy tính","BPVN - VN-WH","trong","","False","","True"
"537","VN-WH029","Máy tính","BPVN - VN-WH","trong","","False","","True"
"538","VN-WH009","Máy tính","BPVN - VN-WH","trong","","False","","True"
"539","VN-WK069","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","True","","True"
"540","VN-WK036","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"541","VN-WK037","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"542","VN-WK003","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"543","VN-WK015","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","True","","True"
"544","VN-WK034","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","True","","True"
"545","VN-WK041","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"546","VN-WK021","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"547","VN-WK030","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"548","VN-WK014","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","True","","True"
"549","VN-WK016","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"550","VN-WK054","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","True","","True"
"551","VN-WK009","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"552","VN-WK033","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","True","","True"
"553","VN-WK006","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"554","VN-WK007","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","False","","True"
"555","VN-WK004","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","True","","True"
"556","VN-WS001","Máy tính","BPVN - VN-WS","trong","","False","","True"
"557","VN-WS003","Máy tính","BPVN - VN-WS","trong","","False","","True"
"558","VN-WV018","Máy tính","BPVN - VN-WV","trong","","False","","True"
"559","VN-WV019","Máy tính","BPVN - VN-WV","trong","","False","","True"
"560","VN-WV004","Máy tính","BPVN - VN-WV","trong","","False","","True"
"561","VN-WV023","Máy tính","BPVN - VN-WV","trong","","False","","True"
"562","VN-WV028","Máy tính","BPVN - VN-WV","trong","","False","","True"
"563","VN-WV010","Máy tính","BPVN - VN-WV","trong","","False","","True"
"564","VN-WV035","Máy tính","BPVN - VN-WV","trong","","False","","True"
"565","VN-WV022","Máy tính","BPVN - VN-WV","trong","","False","","True"
"566","VN-WV005","Máy tính","BPVN - VN-WV","trong","","False","","True"
"567","VN-WV016","Máy tính","BPVN - VN-WV","trong","","False","","True"
"568","VN-WV008","Máy tính","BPVN - VN-WV","trong","","False","","True"
"569","VN-WT002","Máy tính","BPVN - VN-WV","trong","","False","","True"
"570","VN-PW011","Máy tính","BPVN - VN-PW","chu quan","Hải Dương","False","máy tính ngoài xưởng, xin dùng bản miễn phí","True"
"571","VN-PW002","Máy tính","BPVN - VN-PW","chu quan","Hải Dương","True","","True"
"572","VN-PW005","Máy tính","BPVN - VN-PW","chu quan","Hải Dương","False","máy tính ngoài xưởng, xin dùng bản miễn phí","True"
"573","VN-PW004","Máy tính","BPVN - VN-PW","chu quan","Hải Dương","False","máy tính ngoài xưởng, xin dùng bản miễn phí","True"
"574","VN-YDF003","Máy tính","BPVN - VN-YDF","co san","Hải Dương","True","","True"
"575","VN-TL004","Máy tính","BPVN - VN-TL","trong","","False","","True"
"576","VN-LTB018","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"577","VN-LTB040","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"578","VN-LTB039","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"579","VN-LTB037","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"580","VN-LTB010","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"581","VN-LTB006","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"582","VN-LTB008","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"583","VN-LTB048","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"584","VN-LTB045","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"585","VN-LTB044","Máy tính","BPVN - VN-YDF","co san","Hải Dương","True","","True"
"586","VN-LTB043","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"587","VN-LTB042","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"588","VN-LTB025","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"589","VN-LTB029","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"590","VN-LTB030","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"591","VN-LTB023","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"592","VN-LTB031","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"593","VN-LTB024","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"594","VN-LTB058","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"595","VN-LTB035","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"596","VN-PT010","Máy tính","BPVN - VN-PT","chu quan","Hải Dương","True","","True"
"597","VN-PT050","Máy tính","BPVN - VN-PT","chu quan","Hải Dương","True","","True"
"598","VN-PT01","Laptop","BPVN - VN-DF","chu quan","Hải Dương","True","","True"
"599","VN-PT011","Máy tính","BPVN - VN-PT","chu quan","Hải Dương","True","","True"
"600","VN-PT015","Máy tính","BPVN - VN-PT","chu quan","Hải Dương","False","đã chuyển cho máy data bên LTB vào tháng 7.2023","True"
"601","VN-PT008","Máy tính","BPVN - VN-PT","chu quan","Hải Dương","True","","True"
"602","TE-236S","Máy tính","BPVN - VN-PT","chu quan","Hải Dương","False","","True"
"603","VN-PT012","Máy tính","BPVN - VN-PT","chu quan","Hải Dương","True","","True"
"604","VN-PT007","Máy tính","BPVN - VN-PT","chu quan","Hải Dương","True","","True"
"605","VN-LTB050","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"606","VN-LTB046","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"607","VN-DF004","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"608","VN-WV014","Máy tính","BPVN - VN-WV","trong","","False","","True"
"609","VN-PMC051","Máy tính","BPVN - VN-PMC","chu quan","Hải Dương","True","","True"
"610","VN-PMC053","Máy tính","BPVN - VN-PMC","chu quan","Hải Dương","True","","True"
"611","VN-PMC045","Máy tính","BPVN - VN-PMC","chu quan","Hải Dương","True","","True"
"612","VN-SD055","Máy tính","BPVN - VN-SD","co san","Hải Dương","True","","True"
"613","VN-PMC050","Máy tính","BPVN - VN-PMC","chu quan","Hải Dương","True","","True"
"614","VN-WA013","Máy tính","BPVN - VN-WA","chu quan","Hải Dương","True","","True"
"615","VN-SD001","Máy tính","BPVN - VN-SD","trong","","False","","True"
"616","VN-SD066","Máy tính","BPVN - VN-SD","co san","Hải Dương","True","","True"
"617","VN-SD019","Máy tính","BPVN - VN-SD","trong","","False","","True"
"618","VN-WK001","Máy tính","BPVN - VN-WK","chu quan","Hải Dương","True","","True"
"619","VN-SD069","Laptop","BPVN - VN-SD","co san","Hải Dương","True","","True"
"621","VN-SD040","Máy tính","BPVN - VN-SD","trong","","False","","True"
"622","VN-SD010","Máy tính","BPVN - VN-SD","co san","Hải Dương","True","","True"
"623","VN-AC023","Laptop","BPVN - VN-AC","co san","Hải Dương","True","","True"
"625","VN-SD088","Laptop","BPVN - VN-SD","trong","","False","","True"
"626","VN-SD111","Máy tính","BPVN - VN-SD","co san","Hải Dương","True","","True"
"627","VN-RD003","Máy tính","BPVN - VN-RD","chu quan","Hải Dương","True","","True"
"628","VN-SD121","Laptop","BPVN - VN-RD","chu quan","Hải Dương","True","","True"
"629","VN-RD007","Máy tính","BPVN - VN-RD","chu quan","Hải Dương","True","","True"
"630","VN-RD009","Máy tính","BPVN - VN-RD","chu quan","Hải Dương","True","","True"
"631","VN-IT001","Laptop","BPVN - VN-IT","trong","","False","","True"
"633","VN-IT011","Máy tính","BPVN - VN-IT","trong","","False","","True"
"634","VN-AC020","Laptop","BPVN - VN-AC","trong","","False","","True"
"635","VN-AC015","Laptop","BPVN - VN-AC","co san","Hải Dương","True","","True"
"636","VN-AC031","Laptop","BPVN - VN-AC","trong","","False","","True"
"637","VN-AC027","Laptop","BPVN - VN-AC","co san","Hải Dương","True","","True"
"638","VN-AC032","Laptop","BPVN - VN-AC","trong","","False","","True"
"639","VN-AC024","Laptop","BPVN - VN-AC","co san","Hải Dương","True","","True"
"640","VN-AC025","Laptop","BPVN - VN-AC","co san","Hải Dương","True","","True"
"641","VN-HR058","Laptop","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"642","VN-HR041","Laptop","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"643","VN-HR031","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"644","VN-HR032","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"645","VN-HR078","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"646","VN-HR017","Laptop","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
